id;track_name;artist(s)_name;artist_count;released_year;released_month;released_day;streams;bpm;key;mode
0;Seven (feat. Latto) (Explicit Ver.);Latto, Jung Kook;2;2023;7;14;141381703;125;B;Major
1;LALA;Myke Towers;1;2023;3;23;133716286;92;C#;Major
2;vampire;Olivia Rodrigo;1;2023;6;30;140003974;138;F;Major
3;Cruel Summer;Taylor Swift;1;2019;8;23;800840817;170;A;Major
4;WHERE SHE GOES;Bad Bunny;1;2023;5;18;303236322;144;A;Minor
5;Sprinter;Dave, Central Cee;2;2023;6;1;183706234;141;C#;Major
6;Ella Baila Sola;Eslabon Armado, Peso Pluma;2;2023;3;16;725980112;148;F;Minor
7;Columbia;Quevedo;1;2023;7;7;58149378;100;F;Major
8;fukumean;Gunna;1;2023;5;15;95217315;130;C#;Minor
9;La Bebe - Remix;Peso Pluma, Yng Lvcas;2;2023;3;17;553634067;170;D;Minor
10;un x100to;Bad Bunny, Grupo Frontera;2;2023;4;17;505671438;83;F#;Minor
11;Super Shy;NewJeans;1;2023;7;7;58255150;150;F;Minor
12;Flowers;Miley Cyrus;1;2023;1;12;1316855716;118;;Major
13;Daylight;David Kushner;1;2023;4;14;387570742;130;D;Minor
14;As It Was;Harry Styles;1;2022;3;31;2513188493;174;F#;Minor
15;Kill Bill;SZA;1;2022;12;8;1163093654;89;G#;Major
16;Cupid - Twin Ver.;Fifty Fifty;1;2023;2;24;496795686;120;B;Minor
17;"What Was I Made For? [From The Motion Picture ""Barbie""]";Billie Eilish;1;2023;7;13;30546883;78;;Major
18;Classy 101;Feid, Young Miko;2;2023;3;31;335222234;100;B;Major
19;Like Crazy;Jimin;1;2023;3;24;363369738;120;G;Major
20;LADY GAGA;Gabito Ballesteros, Junior H, Peso Pluma;3;2023;6;22;86444842;140;F;Minor
21;I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ;Taylor Swift;1;2023;7;7;52135248;123;F#;Major
22;I Wanna Be Yours;Arctic Monkeys;1;2013;1;1;1297026226;135;;Minor
23;Peso Pluma: Bzrp Music Sessions, Vol. 55;Bizarrap, Peso Pluma;2;2023;5;31;200647221;133;F;Minor
24;Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series);The Weeknd, Madonna, Playboi Carti;3;2023;6;2;115364561;99;C#;Major
25;SABOR FRESA;Fuerza Regida;1;2023;6;22;78300654;130;G;Minor
26;Calm Down (with Selena Gomez);Rï¿½ï¿½ma, Selena G;2;2022;3;25;899183384;107;B;Major
27;MOJABI GHOST;Tainy, Bad Bunny;2;2023;6;29;61245289;122;F#;Minor
28;Last Night;Morgan Wallen;1;2023;1;31;429829812;204;F#;Major
29;Dance The Night (From Barbie The Album);Dua Lipa;1;2023;5;25;127408954;110;B;Minor
30;Rush;Troye Sivan;1;2023;7;13;22581161;126;F;Minor
31;TULUM;Peso Pluma, Grupo Frontera;2;2023;6;28;52294266;168;F#;Major
32;Creepin';The Weeknd, 21 Savage, Metro Boomin;3;2022;12;2;843957510;98;C#;Minor
33;Anti-Hero;Taylor Swift;1;2022;10;21;999748277;97;E;Major
34;TQG;Karol G, Shakira;2;2023;2;23;618990393;180;E;Minor
35;Los del Espacio;Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk;8;2023;6;1;123122413;120;;Major
36;Frï¿½ï¿½gil (feat. Grupo Front;Yahritza Y Su Esencia, Grupo Frontera;2;2023;4;7;188933502;150;F#;Major
37;Blank Space;Taylor Swift;1;2014;1;1;1355959075;96;F;Major
38;Style;Taylor Swift;1;2014;1;1;786181836;95;D;Major
39;TQM;Fuerza Regida;1;2023;5;19;176553476;125;F;Minor
40;El Azul;Junior H, Peso Pluma;2;2023;2;10;354495408;144;A;Minor
41;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone, Swae Lee;2;2018;10;9;2808096550;90;D;Major
42;I'm Good (Blue);Bebe Rexha, David Guetta;2;2022;8;26;1109433169;128;G;Minor
43;See You Again;Tyler, The Creator, Kali Uchis;3;2017;7;21;1047101291;79;F#;Major
44;Barbie World (with Aqua) [From Barbie The Album];Nicki Minaj, Aqua, Ice Spice;3;2023;6;23;65156199;144;;Major
45;Angels Like You;Miley Cyrus;1;2020;11;27;570515054;122;F;Major
46;I Ain't Worried;OneRepublic;1;2022;5;13;1085685420;140;;Major
47;Die For You;The Weeknd;1;2016;11;24;1647990401;134;C#;Minor
48;Starboy;The Weeknd, Daft Punk;2;2016;9;21;2565529693;186;G;Major
49;Die For You - Remix;Ariana Grande, The Weeknd;2;2023;2;24;518745108;67;C#;Minor
50;El Cielo;Feid, Myke Towers, Sky Rompiendo;3;2023;6;2;107753850;106;A#;Minor
51;Baby Don't Hurt Me;David Guetta, Anne-Marie, Coi Leray;3;2023;4;6;177740666;128;G;Major
52;AMARGURA;Karol G;1;2023;2;24;153372011;107;F#;Minor
53;(It Goes Like) Nanana - Edit;Peggy Gou;1;2023;6;15;57876440;130;G;Minor
54;Another Love;Tom Odell;1;2012;10;15;1813673666;123;E;Minor
55;Blinding Lights;The Weeknd;1;2019;11;29;3703895074;171;C#;Major
56;Moonlight;Kali Uchis;1;2023;2;24;256483385;137;G;Minor
57;La Bachata;Manuel Turizo;1;2022;5;26;1214083358;125;G;Minor
58;S91;Karol G;1;2023;7;14;16011326;128;;Minor
59;cardigan;Taylor Swift;1;2020;7;24;812019557;130;;Minor
